,cols
0,5758002
1,10509002
2,24079001
3,36955009
4,43878008
5,44465007
6,47318007
7,49727002
8,62106007
9,65363002
10,70704007
11,91861009
12,195662009
13,233678006
14,241929008
15,386661006
16,409089005
17,444814009
18,840539006
19,840544004
