,cols
0,RACE_asian
1,RACE_black
2,RACE_hawaiian
3,RACE_native
4,RACE_other
5,RACE_white
6,ETHNICITY_hispanic
7,ETHNICITY_nonhispanic
8,GENDER_F
9,GENDER_M
